timestamp_sec,timestamp_nsec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5
1774371513,361362585,74.0,610.0,1002.0,1023.0,976.0,976.0
1774371513,369877378,74.0,608.0,1002.0,1023.0,976.0,976.0
1774371513,378948315,74.0,605.0,1002.0,1023.0,975.0,976.0
1774371513,391166797,74.0,604.0,1002.0,1023.0,975.0,976.0
1774371513,399406038,74.0,603.0,1002.0,1023.0,975.0,976.0
1774371513,409300911,74.0,603.0,1002.0,1023.0,975.0,976.0
1774371513,421081453,75.0,602.0,1002.0,1023.0,975.0,976.0
1774371513,430627367,76.0,603.0,1002.0,1023.0,975.0,976.0
1774371513,439552953,77.0,602.0,1002.0,1023.0,974.0,976.0
1774371513,449186922,79.0,601.0,1002.0,1023.0,974.0,976.0
1774371513,460344932,80.0,601.0,1002.0,1023.0,974.0,976.0
1774371513,469167686,81.0,601.0,1002.0,1023.0,974.0,975.0
1774371513,479767905,82.0,601.0,1002.0,1023.0,973.0,975.0
1774371513,490140941,82.0,600.0,1002.0,1023.0,973.0,975.0
1774371513,498816215,83.0,599.0,1002.0,1023.0,972.0,975.0
1774371513,509507193,83.0,598.0,1001.0,1023.0,972.0,975.0
1774371513,519113495,83.0,597.0,1001.0,1023.0,971.0,975.0
1774371513,529437476,83.0,598.0,1001.0,1023.0,971.0,975.0
1774371513,539841345,83.0,598.0,1001.0,1023.0,971.0,975.0
1774371513,549289019,83.0,597.0,1001.0,1023.0,971.0,975.0
1774371513,561143116,83.0,596.0,1000.0,1023.0,970.0,975.0
1774371513,568755899,83.0,596.0,1000.0,1023.0,970.0,975.0
1774371513,580722291,82.0,596.0,1000.0,1023.0,970.0,975.0
1774371513,589390879,83.0,595.0,999.0,1023.0,969.0,975.0
1774371513,599268068,81.0,595.0,999.0,1023.0,969.0,975.0
1774371513,609649771,81.0,596.0,998.0,1023.0,968.0,975.0
1774371513,619251832,82.0,595.0,998.0,1023.0,967.0,976.0
1774371513,630642081,82.0,596.0,997.0,1023.0,966.0,976.0
1774371513,638867951,83.0,596.0,996.0,1023.0,965.0,976.0
1774371513,650774881,83.0,596.0,996.0,1023.0,965.0,976.0
1774371513,658601755,83.0,596.0,996.0,1023.0,964.0,977.0
1774371513,668762441,83.0,595.0,996.0,1023.0,963.0,976.0
1774371513,679710935,83.0,594.0,996.0,1023.0,963.0,977.0
1774371513,690015879,82.0,594.0,995.0,1023.0,962.0,977.0
1774371513,700360656,82.0,593.0,995.0,1023.0,962.0,977.0
1774371513,709442537,80.0,593.0,995.0,1023.0,962.0,977.0
1774371513,722497530,79.0,591.0,995.0,1023.0,962.0,977.0
1774371513,728738474,78.0,591.0,995.0,1023.0,961.0,977.0
1774371513,739351675,78.0,591.0,995.0,1023.0,961.0,977.0
1774371513,749901765,77.0,589.0,995.0,1023.0,961.0,977.0
1774371513,761123812,77.0,589.0,995.0,1023.0,960.0,977.0
1774371513,769320312,76.0,588.0,994.0,1023.0,960.0,977.0
1774371513,780007567,76.0,589.0,994.0,1023.0,960.0,977.0
1774371513,790516750,76.0,588.0,993.0,1023.0,960.0,977.0
1774371513,799560835,77.0,588.0,993.0,1023.0,960.0,977.0
1774371513,809039972,76.0,588.0,993.0,1023.0,959.0,977.0
1774371513,819992577,76.0,588.0,993.0,1023.0,959.0,978.0
1774371513,830618018,76.0,587.0,993.0,1023.0,959.0,978.0
1774371513,839726473,76.0,587.0,993.0,1023.0,959.0,978.0
1774371513,849240757,75.0,587.0,993.0,1023.0,958.0,978.0
1774371513,860143511,75.0,587.0,993.0,1023.0,958.0,978.0
1774371513,869310373,75.0,586.0,992.0,1023.0,958.0,978.0
1774371513,880004146,74.0,586.0,992.0,1023.0,958.0,978.0
1774371513,890278165,73.0,585.0,992.0,1023.0,957.0,978.0
1774371513,899801820,72.0,586.0,992.0,1023.0,957.0,978.0
1774371513,910696573,72.0,586.0,992.0,1023.0,956.0,978.0
1774371513,919063794,71.0,585.0,992.0,1023.0,955.0,978.0
1774371513,929136481,70.0,584.0,992.0,1023.0,955.0,978.0
1774371513,939450629,68.0,583.0,992.0,1023.0,954.0,978.0
1774371513,949835683,67.0,582.0,992.0,1023.0,953.0,978.0
1774371513,960784232,66.0,582.0,992.0,1023.0,951.0,978.0
1774371513,969556542,65.0,582.0,991.0,1023.0,949.0,978.0
1774371513,980787348,65.0,581.0,990.0,1023.0,945.0,978.0
1774371513,989564862,66.0,581.0,990.0,1023.0,941.0,978.0
1774371513,999710455,66.0,581.0,989.0,1023.0,938.0,978.0
1774371514,9266499,66.0,581.0,988.0,1023.0,935.0,978.0
1774371514,20671785,67.0,581.0,988.0,1023.0,933.0,978.0
1774371514,30705732,67.0,582.0,987.0,1023.0,931.0,978.0
1774371514,39252340,67.0,582.0,987.0,1023.0,929.0,978.0
1774371514,49423841,68.0,583.0,987.0,1023.0,928.0,978.0
1774371514,59082458,69.0,582.0,987.0,1023.0,926.0,978.0
1774371514,69311348,70.0,582.0,986.0,1023.0,925.0,978.0
1774371514,79783920,70.0,582.0,986.0,1023.0,923.0,978.0
1774371514,90422584,70.0,582.0,986.0,1023.0,921.0,978.0
1774371514,101055229,71.0,581.0,986.0,1023.0,920.0,977.0
1774371514,109647837,71.0,581.0,986.0,1023.0,918.0,977.0
1774371514,120412629,71.0,581.0,986.0,1023.0,916.0,977.0
1774371514,129053384,72.0,580.0,986.0,1023.0,915.0,977.0
1774371514,139561549,72.0,580.0,985.0,1023.0,913.0,976.0
1774371514,150313026,73.0,580.0,985.0,1023.0,911.0,976.0
1774371514,159192521,73.0,580.0,984.0,1023.0,909.0,976.0
1774371514,169250504,74.0,580.0,984.0,1023.0,906.0,976.0
1774371514,179729077,74.0,579.0,983.0,1023.0,902.0,976.0
1774371514,189975373,73.0,579.0,982.0,1023.0,897.0,976.0
1774371514,198917349,73.0,579.0,981.0,1023.0,893.0,976.0
1774371514,209382569,73.0,579.0,980.0,1023.0,890.0,976.0
1774371514,220415618,74.0,578.0,979.0,1023.0,887.0,976.0
1774371514,229674442,74.0,578.0,978.0,1023.0,884.0,976.0
1774371514,239693759,75.0,578.0,977.0,1023.0,880.0,976.0
1774371514,249089731,76.0,577.0,977.0,1023.0,876.0,976.0
1774371514,259819171,77.0,576.0,976.0,1023.0,871.0,975.0
1774371514,268975811,77.0,576.0,975.0,1023.0,865.0,975.0
1774371514,279384051,78.0,576.0,974.0,1023.0,860.0,975.0
1774371514,289828216,79.0,576.0,973.0,1023.0,855.0,974.0
1774371514,299526055,80.0,575.0,972.0,1023.0,850.0,974.0
1774371514,310274069,80.0,574.0,971.0,1023.0,844.0,974.0
1774371514,319390450,81.0,573.0,970.0,1023.0,836.0,974.0
1774371514,329632654,82.0,572.0,969.0,1023.0,827.0,973.0
1774371514,338917441,83.0,571.0,968.0,1023.0,817.0,973.0
1774371514,349501883,84.0,569.0,967.0,1023.0,807.0,972.0
1774371514,360731115,85.0,566.0,967.0,1023.0,795.0,971.0
1774371514,369533221,85.0,563.0,966.0,1023.0,782.0,970.0
1774371514,381119228,85.0,560.0,965.0,1023.0,770.0,967.0
1774371514,389445042,84.0,556.0,965.0,1023.0,758.0,964.0
1774371514,399769671,83.0,553.0,964.0,1023.0,746.0,959.0
1774371514,409066551,82.0,548.0,964.0,1023.0,734.0,954.0
1774371514,420106507,80.0,545.0,963.0,1023.0,722.0,948.0
1774371514,430559950,78.0,539.0,963.0,1023.0,711.0,942.0
1774371514,439421315,76.0,535.0,963.0,1023.0,700.0,938.0
1774371514,449167301,74.0,532.0,963.0,1023.0,691.0,934.0
1774371514,459608652,72.0,529.0,962.0,1023.0,682.0,930.0
1774371514,470044465,72.0,526.0,962.0,1023.0,673.0,926.0
1774371514,479287086,71.0,524.0,962.0,1023.0,666.0,921.0
1774371514,490288339,71.0,523.0,963.0,1023.0,657.0,918.0
1774371514,499540996,71.0,520.0,963.0,1023.0,649.0,913.0
1774371514,510005569,71.0,519.0,963.0,1023.0,640.0,908.0
1774371514,519006636,71.0,516.0,964.0,1023.0,630.0,902.0
1774371514,529497986,70.0,515.0,964.0,1023.0,620.0,896.0
1774371514,539157455,68.0,513.0,964.0,1023.0,611.0,889.0
1774371514,549349530,67.0,510.0,965.0,1023.0,602.0,881.0
1774371514,559707436,65.0,507.0,967.0,1023.0,592.0,873.0
1774371514,569996288,63.0,502.0,968.0,1023.0,581.0,865.0
1774371514,579282964,61.0,498.0,970.0,1023.0,566.0,856.0
1774371514,591387762,59.0,495.0,972.0,1023.0,548.0,848.0
1774371514,598785474,58.0,490.0,973.0,1023.0,531.0,838.0
1774371514,608848161,57.0,488.0,974.0,1023.0,514.0,829.0
1774371514,619886599,55.0,486.0,975.0,1023.0,500.0,819.0
1774371514,629760732,54.0,485.0,976.0,1023.0,487.0,811.0
1774371514,639391127,52.0,483.0,976.0,1023.0,477.0,803.0
1774371514,649343815,51.0,481.0,977.0,1023.0,467.0,796.0
1774371514,658747712,51.0,479.0,979.0,1023.0,458.0,789.0
1774371514,669158433,50.0,479.0,979.0,1023.0,449.0,783.0
1774371514,680179371,50.0,476.0,980.0,1023.0,441.0,777.0
1774371514,690475260,50.0,475.0,980.0,1023.0,432.0,772.0
1774371514,699527753,50.0,473.0,980.0,1023.0,424.0,768.0
1774371514,710566450,50.0,472.0,980.0,1023.0,415.0,764.0
1774371514,720018291,50.0,472.0,980.0,1023.0,406.0,760.0
1774371514,728886285,50.0,470.0,979.0,1023.0,396.0,756.0
1774371514,739489319,50.0,468.0,978.0,1023.0,387.0,753.0
1774371514,750004928,49.0,467.0,977.0,1023.0,377.0,749.0
1774371514,761492936,49.0,464.0,977.0,1023.0,370.0,746.0
1774371514,768807870,48.0,462.0,976.0,1023.0,363.0,744.0
1774371514,780045936,49.0,462.0,976.0,1023.0,357.0,741.0
1774371514,789513277,49.0,462.0,976.0,1023.0,351.0,739.0
1774371514,799472205,48.0,462.0,974.0,1023.0,346.0,738.0
1774371514,809037879,49.0,461.0,973.0,1023.0,341.0,736.0
1774371514,819839115,48.0,460.0,972.0,1023.0,336.0,734.0
1774371514,830104726,49.0,460.0,971.0,1023.0,331.0,731.0
1774371514,838705519,48.0,459.0,970.0,1023.0,327.0,729.0
1774371514,848495172,48.0,459.0,969.0,1023.0,323.0,727.0
1774371514,859046077,48.0,459.0,969.0,1023.0,319.0,724.0
1774371514,869555853,48.0,460.0,968.0,1023.0,315.0,723.0
1774371514,879121007,48.0,460.0,967.0,1023.0,312.0,722.0
1774371514,890205426,49.0,459.0,967.0,1023.0,309.0,721.0
1774371514,899259049,48.0,459.0,966.0,1023.0,306.0,719.0
1774371514,910000267,48.0,459.0,965.0,1023.0,303.0,718.0
1774371514,920634893,48.0,458.0,964.0,1023.0,301.0,717.0
1774371514,929416129,48.0,458.0,964.0,1023.0,299.0,715.0
1774371514,939581834,48.0,457.0,964.0,1023.0,297.0,715.0
1774371514,949520559,49.0,457.0,963.0,1023.0,295.0,714.0
1774371514,960860661,49.0,458.0,963.0,1023.0,294.0,713.0
1774371514,969156846,49.0,459.0,962.0,1023.0,293.0,713.0
1774371514,979714306,49.0,460.0,962.0,1023.0,292.0,712.0
1774371514,989274720,48.0,460.0,962.0,1023.0,291.0,712.0
1774371514,999339796,49.0,461.0,962.0,1023.0,290.0,712.0
1774371515,8971636,49.0,461.0,962.0,1023.0,289.0,711.0
1774371515,20287979,49.0,462.0,962.0,1023.0,288.0,711.0
1774371515,30750607,50.0,462.0,962.0,1023.0,288.0,710.0
1774371515,39002904,51.0,463.0,962.0,1023.0,288.0,710.0
1774371515,50086730,53.0,465.0,961.0,1023.0,288.0,710.0
