timestamp_sec,timestamp_nsec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5
1774371378,120799073,0.0,0.0,933.0,1023.0,998.0,977.0
1774371378,130431873,0.0,0.0,932.0,1023.0,994.0,973.0
1774371378,140421076,0.0,0.0,931.0,1023.0,991.0,970.0
1774371378,149677270,0.0,0.0,929.0,1023.0,988.0,965.0
1774371378,160347779,0.0,0.0,928.0,1023.0,986.0,961.0
1774371378,170059448,0.0,0.0,927.0,1023.0,984.0,958.0
1774371378,180185205,0.0,0.0,925.0,1023.0,982.0,954.0
1774371378,189818783,0.0,0.0,924.0,1023.0,981.0,950.0
1774371378,202227065,0.0,0.0,923.0,1023.0,979.0,947.0
1774371378,210028741,0.0,0.0,923.0,1023.0,978.0,944.0
1774371378,219895075,0.0,0.0,922.0,1023.0,977.0,942.0
1774371378,231064392,0.0,0.0,921.0,1023.0,975.0,941.0
1774371378,240174959,0.0,0.0,920.0,1023.0,974.0,940.0
1774371378,250598730,0.0,0.0,920.0,1023.0,973.0,939.0
1774371378,259859202,0.0,0.0,919.0,1023.0,973.0,938.0
1774371378,271324811,0.0,9.0,918.0,1023.0,972.0,938.0
1774371378,279233263,0.0,19.0,918.0,1023.0,970.0,938.0
1774371378,289307336,0.0,28.0,917.0,1023.0,969.0,937.0
1774371378,300482227,0.0,39.0,916.0,1023.0,967.0,938.0
1774371378,309560016,0.0,48.0,915.0,1023.0,966.0,938.0
1774371378,319843307,0.0,54.0,913.0,1023.0,964.0,938.0
1774371378,331749578,0.0,58.0,912.0,1023.0,963.0,938.0
1774371378,340813608,0.0,61.0,910.0,1023.0,961.0,938.0
1774371378,349614400,0.0,62.0,908.0,1023.0,959.0,938.0
1774371378,361040510,0.0,65.0,907.0,1023.0,958.0,938.0
1774371378,369855210,0.0,67.0,905.0,1023.0,956.0,939.0
1774371378,380646310,0.0,70.0,903.0,1023.0,955.0,939.0
1774371378,389825468,0.0,74.0,901.0,1023.0,953.0,940.0
1774371378,402230083,0.0,79.0,899.0,1023.0,952.0,940.0
1774371378,409431452,0.0,86.0,897.0,1023.0,951.0,941.0
1774371378,419553950,0.0,98.0,895.0,1023.0,950.0,942.0
1774371378,433683062,0.0,113.0,893.0,1023.0,949.0,943.0
1774371378,439594429,0.0,129.0,891.0,1023.0,948.0,945.0
1774371378,450334955,0.0,146.0,890.0,1023.0,947.0,946.0
1774371378,461035038,0.0,164.0,888.0,1023.0,946.0,947.0
1774371378,470505581,0.0,186.0,886.0,1023.0,945.0,948.0
1774371378,479507482,0.0,209.0,885.0,1023.0,944.0,949.0
1774371378,490749965,0.0,231.0,884.0,1023.0,943.0,951.0
1774371378,499866735,0.0,252.0,883.0,1023.0,943.0,952.0
1774371378,510221525,0.0,270.0,883.0,1023.0,942.0,953.0
1774371378,519885177,0.0,286.0,882.0,1023.0,942.0,955.0
1774371378,532717750,0.0,298.0,882.0,1023.0,941.0,957.0
1774371378,541380767,0.0,308.0,881.0,1023.0,941.0,959.0
1774371378,549333644,0.0,317.0,880.0,1023.0,941.0,960.0
1774371378,559677380,0.0,324.0,880.0,1023.0,941.0,961.0
1774371378,569284717,0.0,332.0,879.0,1023.0,941.0,962.0
1774371378,579757784,0.0,342.0,879.0,1023.0,941.0,963.0
1774371378,590165815,0.0,352.0,879.0,1023.0,941.0,964.0
1774371378,599909132,0.0,365.0,879.0,1023.0,941.0,964.0
1774371378,610754657,0.0,382.0,879.0,1023.0,941.0,965.0
1774371378,619446562,0.0,402.0,879.0,1023.0,941.0,967.0
1774371378,631643236,0.0,421.0,879.0,1023.0,941.0,969.0
1774371378,640089533,0.0,441.0,879.0,1023.0,941.0,969.0
1774371378,650650099,6.0,462.0,880.0,1023.0,941.0,971.0
1774371378,659356597,11.0,482.0,880.0,1023.0,942.0,971.0
1774371378,670144567,16.0,499.0,881.0,1023.0,942.0,972.0
1774371378,681417790,19.0,515.0,882.0,1023.0,942.0,973.0
1774371378,691240014,21.0,530.0,883.0,1023.0,942.0,973.0
1774371378,700215415,23.0,544.0,885.0,1023.0,943.0,974.0
1774371378,709864271,25.0,555.0,886.0,1023.0,943.0,975.0
1774371378,720346652,27.0,565.0,888.0,1023.0,943.0,975.0
1774371378,731386971,28.0,572.0,890.0,1023.0,944.0,975.0
1774371378,740617036,29.0,578.0,892.0,1023.0,944.0,976.0
1774371378,750244836,30.0,583.0,894.0,1023.0,945.0,976.0
1774371378,761976461,31.0,586.0,896.0,1023.0,944.0,977.0
1774371378,770043670,31.0,591.0,898.0,1023.0,944.0,977.0
1774371378,780255055,33.0,596.0,901.0,1023.0,944.0,978.0
1774371378,789984243,35.0,601.0,904.0,1023.0,943.0,979.0
1774371378,802483080,38.0,611.0,907.0,1023.0,944.0,980.0
1774371378,810295126,41.0,622.0,910.0,1023.0,943.0,981.0
1774371378,820435031,44.0,634.0,914.0,1023.0,943.0,981.0
1774371378,831508034,46.0,646.0,920.0,1023.0,943.0,981.0
1774371378,839904647,49.0,659.0,925.0,1023.0,944.0,982.0
1774371378,850341566,50.0,672.0,932.0,1023.0,944.0,981.0
1774371378,859687296,52.0,683.0,939.0,1023.0,944.0,981.0
1774371378,870906779,54.0,691.0,945.0,1023.0,944.0,981.0
1774371378,880799631,54.0,699.0,950.0,1023.0,945.0,982.0
1774371378,892302037,53.0,703.0,955.0,1023.0,945.0,981.0
1774371378,899687681,53.0,706.0,960.0,1023.0,947.0,981.0
1774371378,909688939,53.0,709.0,964.0,1023.0,948.0,981.0
1774371378,920186488,53.0,711.0,967.0,1023.0,949.0,982.0
1774371378,932103054,52.0,712.0,970.0,1023.0,951.0,981.0
1774371378,940431149,52.0,714.0,973.0,1023.0,953.0,981.0
1774371378,949661695,51.0,715.0,975.0,1023.0,955.0,981.0
1774371378,961062176,50.0,716.0,977.0,1023.0,958.0,981.0
1774371378,969396715,49.0,717.0,980.0,1023.0,962.0,981.0
1774371378,979696266,47.0,718.0,982.0,1023.0,966.0,981.0
1774371378,990217073,46.0,719.0,984.0,1023.0,971.0,981.0
1774371379,586401,46.0,721.0,986.0,1023.0,975.0,981.0
1774371379,10616826,46.0,725.0,989.0,1023.0,978.0,981.0
1774371379,20670398,46.0,728.0,991.0,1023.0,981.0,981.0
1774371379,31300390,46.0,732.0,993.0,1023.0,983.0,981.0
1774371379,40564639,46.0,734.0,995.0,1023.0,985.0,981.0
1774371379,49763557,46.0,735.0,997.0,1023.0,986.0,981.0
1774371379,60160218,47.0,737.0,999.0,1023.0,987.0,981.0
1774371379,72590889,48.0,737.0,1001.0,1023.0,988.0,981.0
1774371379,80311196,48.0,739.0,1003.0,1023.0,989.0,980.0
1774371379,90369861,49.0,740.0,1004.0,1023.0,990.0,980.0
1774371379,99134080,49.0,744.0,1005.0,1023.0,991.0,980.0
1774371379,109253967,49.0,746.0,1006.0,1023.0,992.0,979.0
1774371379,120034438,50.0,746.0,1007.0,1023.0,992.0,979.0
1774371379,131609991,49.0,747.0,1008.0,1023.0,992.0,979.0
1774371379,140731724,50.0,748.0,1009.0,1023.0,992.0,979.0
1774371379,150413913,50.0,749.0,1009.0,1023.0,992.0,979.0
1774371379,161649970,51.0,750.0,1009.0,1023.0,992.0,979.0
1774371379,169805216,52.0,751.0,1010.0,1023.0,993.0,979.0
1774371379,179849214,54.0,753.0,1010.0,1023.0,993.0,979.0
1774371379,189424553,57.0,758.0,1010.0,1023.0,993.0,979.0
1774371379,202787749,60.0,764.0,1011.0,1023.0,993.0,979.0
1774371379,210626147,62.0,770.0,1011.0,1023.0,994.0,980.0
1774371379,221735354,64.0,777.0,1012.0,1023.0,994.0,980.0
1774371379,229743139,66.0,782.0,1012.0,1023.0,993.0,980.0
1774371379,239901044,66.0,784.0,1013.0,1023.0,993.0,979.0
1774371379,250644515,67.0,786.0,1013.0,1023.0,993.0,980.0
1774371379,260306056,68.0,788.0,1014.0,1023.0,993.0,980.0
1774371379,272539081,68.0,789.0,1015.0,1023.0,993.0,979.0
1774371379,280298221,69.0,790.0,1015.0,1023.0,992.0,979.0
1774371379,289867726,70.0,791.0,1015.0,1023.0,992.0,979.0
1774371379,299451009,72.0,791.0,1016.0,1023.0,992.0,980.0
1774371379,309518711,73.0,792.0,1017.0,1023.0,992.0,979.0
1774371379,320050000,74.0,793.0,1017.0,1023.0,992.0,979.0
1774371379,330563641,75.0,794.0,1018.0,1023.0,992.0,979.0
1774371379,340916839,75.0,795.0,1018.0,1023.0,992.0,979.0
1774371379,350067924,75.0,794.0,1019.0,1023.0,992.0,979.0
1774371379,359357395,75.0,796.0,1019.0,1023.0,992.0,979.0
1774371379,369671780,75.0,796.0,1020.0,1023.0,992.0,979.0
1774371379,380130162,75.0,798.0,1021.0,1023.0,992.0,979.0
1774371379,389751092,75.0,799.0,1021.0,1023.0,992.0,979.0
1774371379,400033477,76.0,799.0,1022.0,1023.0,992.0,979.0
1774371379,410797837,76.0,798.0,1023.0,1023.0,991.0,979.0
1774371379,420870668,75.0,798.0,1023.0,1023.0,991.0,979.0
1774371379,430742892,75.0,798.0,1023.0,1023.0,991.0,979.0
1774371379,439626257,75.0,798.0,1023.0,1023.0,992.0,979.0
